source,target
ಅವನು ಇಂದು ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,He eat fruit today
ನಾನು ಈಗ ಆಟ ಆಡುತ್ತೇನೆ,I play a game now
ನಾನು ಇಂದು ಆಟ ಆಡುತ್ತೇನೆ,I play a game today
ನೀನು ಪ್ರತಿ ದಿನ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,You listen to music every day
ಅವನು ಸಂಜೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,He read a book in the evening
ಅವಳು ಪ್ರತಿ ದಿನ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,She eat fruit every day
ನೀನು ನಾಳೆ ಆಟ ಆಡುತ್ತೇನೆ,You play a game tomorrow
ನಾವು ನಾಳೆ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,We eat fruit tomorrow
ಅವನು ಇಂದು ಮನೆಗೆ ಬರುತ್ತೇನೆ,He come home today
ಅವರು ನಾಳೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,They watch a movie tomorrow
ಅವಳು ನಾಳೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,She read a book tomorrow
ನಾನು ಇಂದು ಆಟ ಆಡುತ್ತೇನೆ,I play a game today
ನಾವು ಈಗ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,We listen to music now
ಅವನು ನಾಳೆ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,He eat fruit tomorrow
ಅವರು ಸಂಜೆ ಆಟ ಆಡುತ್ತೇನೆ,They play a game in the evening
ಅವನು ಈಗ ಮನೆಗೆ ಬರುತ್ತೇನೆ,He come home now
ಅವರು ನಾಳೆ ಆಟ ಆಡುತ್ತೇನೆ,They play a game tomorrow
ಅವನು ಸಂಜೆ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,He go to school in the evening
ಅವನು ಪ್ರತಿ ದಿನ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,He read a book every day
ನಾನು ಸಂಜೆ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,I go to school in the evening
ಅವನು ನಾಳೆ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,He go to school tomorrow
ಅವರು ಸಂಜೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,They speak Kannada in the evening
ನಾವು ಪ್ರತಿ ದಿನ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,We eat fruit every day
ಅವಳು ಇಂದು ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,She watch a movie today
ನಾವು ಪ್ರತಿ ದಿನ ಮನೆಗೆ ಬರುತ್ತೇನೆ,We come home every day
ನಾನು ನಾಳೆ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,I listen to music tomorrow
ನಾನು ಸಂಜೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,I watch a movie in the evening
ನೀನು ಸಂಜೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,You read a book in the evening
ಅವರು ಪ್ರತಿ ದಿನ ಮನೆಗೆ ಬರುತ್ತೇನೆ,They come home every day
ನಾನು ಸಂಜೆ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,I go to school in the evening
ನೀನು ಪ್ರತಿ ದಿನ ಮನೆಗೆ ಬರುತ್ತೇನೆ,You come home every day
ಅವಳು ಸಂಜೆ ಆಟ ಆಡುತ್ತೇನೆ,She play a game in the evening
ಅವರು ಈಗ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,They go to school now
ಅವಳು ಪ್ರತಿ ದಿನ ಮನೆಗೆ ಬರುತ್ತೇನೆ,She come home every day
ನಾನು ಪ್ರತಿ ದಿನ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,I read a book every day
ನೀನು ಪ್ರತಿ ದಿನ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,You eat fruit every day
ನೀನು ಪ್ರತಿ ದಿನ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,You read a book every day
ಅವನು ನಾಳೆ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,He listen to music tomorrow
ನೀನು ಇಂದು ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,You go to school today
ನೀನು ನಾಳೆ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,You listen to music tomorrow
ಅವರು ಸಂಜೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,They speak Kannada in the evening
ನೀನು ಇಂದು ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,You speak Kannada today
ನೀನು ಪ್ರತಿ ದಿನ ಆಟ ಆಡುತ್ತೇನೆ,You play a game every day
ನಾವು ನಾಳೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,We read a book tomorrow
ಅವರು ಈಗ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,They read a book now
ಅವಳು ಇಂದು ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,She go to school today
ಅವನು ಇಂದು ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,He read a book today
ನಾವು ಈಗ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,We eat fruit now
ನಾನು ಸಂಜೆ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,I eat fruit in the evening
ಅವಳು ಸಂಜೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,She speak Kannada in the evening
ಅವಳು ಇಂದು ಮನೆಗೆ ಬರುತ್ತೇನೆ,She come home today
ಅವಳು ಈಗ ಮನೆಗೆ ಬರುತ್ತೇನೆ,She come home now
ಅವನು ಪ್ರತಿ ದಿನ ಆಟ ಆಡುತ್ತೇನೆ,He play a game every day
ಅವನು ಈಗ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,He read a book now
ನಾವು ಇಂದು ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,We go to school today
ನಾನು ಪ್ರತಿ ದಿನ ಆಟ ಆಡುತ್ತೇನೆ,I play a game every day
ಅವರು ನಾಳೆ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,They listen to music tomorrow
ನಾವು ಪ್ರತಿ ದಿನ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,We eat fruit every day
ಅವನು ಪ್ರತಿ ದಿನ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,He listen to music every day
ನಾವು ಪ್ರತಿ ದಿನ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,We watch a movie every day
ಅವನು ಸಂಜೆ ಆಟ ಆಡುತ್ತೇನೆ,He play a game in the evening
ಅವಳು ಈಗ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,She read a book now
ಅವರು ಸಂಜೆ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,They listen to music in the evening
ನಾವು ಪ್ರತಿ ದಿನ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,We speak Kannada every day
ಅವರು ಇಂದು ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,They read a book today
ಅವರು ಇಂದು ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,They speak Kannada today
ನೀನು ಇಂದು ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,You go to school today
ನೀನು ಇಂದು ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,You go to school today
ಅವರು ಪ್ರತಿ ದಿನ ಮನೆಗೆ ಬರುತ್ತೇನೆ,They come home every day
ಅವಳು ಈಗ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,She read a book now
ನೀನು ನಾಳೆ ಆಟ ಆಡುತ್ತೇನೆ,You play a game tomorrow
ನಾವು ನಾಳೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,We speak Kannada tomorrow
ಅವನು ಈಗ ಆಟ ಆಡುತ್ತೇನೆ,He play a game now
ಅವರು ಇಂದು ಮನೆಗೆ ಬರುತ್ತೇನೆ,They come home today
ಅವನು ನಾಳೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,He speak Kannada tomorrow
ಅವಳು ನಾಳೆ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,She go to school tomorrow
ನಾವು ನಾಳೆ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,We eat fruit tomorrow
ನೀನು ಇಂದು ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,You listen to music today
ನೀನು ಸಂಜೆ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,You eat fruit in the evening
ನೀನು ನಾಳೆ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,You eat fruit tomorrow
ನಾನು ಸಂಜೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,I watch a movie in the evening
ಅವರು ನಾಳೆ ಮನೆಗೆ ಬರುತ್ತೇನೆ,They come home tomorrow
ಅವನು ಈಗ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,He eat fruit now
ಅವಳು ಪ್ರತಿ ದಿನ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,She eat fruit every day
ನಾನು ಈಗ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,I eat fruit now
ಅವನು ಇಂದು ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,He eat fruit today
ಅವನು ನಾಳೆ ಆಟ ಆಡುತ್ತೇನೆ,He play a game tomorrow
ನಾನು ಸಂಜೆ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,I listen to music in the evening
ನೀನು ಸಂಜೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,You read a book in the evening
ನಾನು ಪ್ರತಿ ದಿನ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,I read a book every day
ನಾವು ಇಂದು ಮನೆಗೆ ಬರುತ್ತೇನೆ,We come home today
ಅವರು ಪ್ರತಿ ದಿನ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,They watch a movie every day
ಅವರು ನಾಳೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,They watch a movie tomorrow
ನಾವು ಇಂದು ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,We go to school today
ಅವರು ಪ್ರತಿ ದಿನ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,They go to school every day
ನೀನು ಪ್ರತಿ ದಿನ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,You go to school every day
ನಾವು ಇಂದು ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,We watch a movie today
ನಾನು ಇಂದು ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,I read a book today
ಅವರು ನಾಳೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,They watch a movie tomorrow
ನಾವು ಪ್ರತಿ ದಿನ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,We eat fruit every day
ಅವಳು ಸಂಜೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,She watch a movie in the evening
ಅವರು ನಾಳೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,They watch a movie tomorrow
ಅವರು ಇಂದು ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,They watch a movie today
ಅವನು ನಾಳೆ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,He listen to music tomorrow
ನೀನು ಪ್ರತಿ ದಿನ ಆಟ ಆಡುತ್ತೇನೆ,You play a game every day
ಅವರು ನಾಳೆ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,They eat fruit tomorrow
ಅವರು ಈಗ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,They watch a movie now
ಅವರು ಸಂಜೆ ಮನೆಗೆ ಬರುತ್ತೇನೆ,They come home in the evening
ಅವನು ಪ್ರತಿ ದಿನ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,He go to school every day
ನಾವು ಈಗ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,We eat fruit now
ನಾವು ಈಗ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,We speak Kannada now
ನೀನು ನಾಳೆ ಆಟ ಆಡುತ್ತೇನೆ,You play a game tomorrow
ನಾವು ಸಂಜೆ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,We eat fruit in the evening
ನಾನು ಇಂದು ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,I go to school today
ನಾನು ಈಗ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,I read a book now
ಅವಳು ಸಂಜೆ ಮನೆಗೆ ಬರುತ್ತೇನೆ,She come home in the evening
ನೀನು ನಾಳೆ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,You listen to music tomorrow
ಅವರು ಇಂದು ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,They watch a movie today
ಅವರು ಸಂಜೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,They read a book in the evening
ಅವರು ಪ್ರತಿ ದಿನ ಆಟ ಆಡುತ್ತೇನೆ,They play a game every day
ಅವಳು ಇಂದು ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,She watch a movie today
ನೀನು ಸಂಜೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,You watch a movie in the evening
ನಾವು ಇಂದು ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,We eat fruit today
ನಾನು ಸಂಜೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,I watch a movie in the evening
ಅವರು ನಾಳೆ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,They eat fruit tomorrow
ಅವನು ಈಗ ಮನೆಗೆ ಬರುತ್ತೇನೆ,He come home now
ನಾವು ಪ್ರತಿ ದಿನ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,We go to school every day
ನಾವು ಪ್ರತಿ ದಿನ ಮನೆಗೆ ಬರುತ್ತೇನೆ,We come home every day
ನಾವು ಈಗ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,We go to school now
ಅವಳು ನಾಳೆ ಮನೆಗೆ ಬರುತ್ತೇನೆ,She come home tomorrow
ಅವಳು ಸಂಜೆ ಆಟ ಆಡುತ್ತೇನೆ,She play a game in the evening
ನಾವು ಪ್ರತಿ ದಿನ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,We speak Kannada every day
ಅವಳು ಇಂದು ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,She go to school today
ನೀನು ಸಂಜೆ ಆಟ ಆಡುತ್ತೇನೆ,You play a game in the evening
ನೀನು ಸಂಜೆ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,You listen to music in the evening
ನೀನು ಈಗ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,You watch a movie now
ನಾನು ಇಂದು ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,I speak Kannada today
ಅವನು ಪ್ರತಿ ದಿನ ಮನೆಗೆ ಬರುತ್ತೇನೆ,He come home every day
ಅವರು ಇಂದು ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,They eat fruit today
ನಾನು ಇಂದು ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,I watch a movie today
ಅವರು ಸಂಜೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,They read a book in the evening
ನಾವು ನಾಳೆ ಆಟ ಆಡುತ್ತೇನೆ,We play a game tomorrow
ಅವನು ಈಗ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,He eat fruit now
ಅವಳು ಇಂದು ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,She go to school today
ಅವರು ನಾಳೆ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,They go to school tomorrow
ಅವನು ಈಗ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,He watch a movie now
ಅವಳು ಈಗ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,She watch a movie now
ನಾನು ಇಂದು ಆಟ ಆಡುತ್ತೇನೆ,I play a game today
ನೀನು ಸಂಜೆ ಆಟ ಆಡುತ್ತೇನೆ,You play a game in the evening
ಅವರು ಸಂಜೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,They speak Kannada in the evening
ಅವರು ಪ್ರತಿ ದಿನ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,They eat fruit every day
ಅವರು ನಾಳೆ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,They eat fruit tomorrow
ಅವಳು ಪ್ರತಿ ದಿನ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,She speak Kannada every day
ನಾವು ಈಗ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,We read a book now
ನೀನು ನಾಳೆ ಮನೆಗೆ ಬರುತ್ತೇನೆ,You come home tomorrow
ಅವರು ನಾಳೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,They read a book tomorrow
ಅವನು ಇಂದು ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,He watch a movie today
ಅವನು ನಾಳೆ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,He go to school tomorrow
ನಾವು ಪ್ರತಿ ದಿನ ಮನೆಗೆ ಬರುತ್ತೇನೆ,We come home every day
ನೀನು ಸಂಜೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,You read a book in the evening
ಅವರು ನಾಳೆ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,They eat fruit tomorrow
ಅವನು ಈಗ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,He read a book now
ಅವಳು ಪ್ರತಿ ದಿನ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,She read a book every day
ಅವನು ಈಗ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,He listen to music now
ಅವರು ನಾಳೆ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,They eat fruit tomorrow
ಅವರು ಈಗ ಮನೆಗೆ ಬರುತ್ತೇನೆ,They come home now
ನಾವು ಸಂಜೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,We read a book in the evening
ನಾವು ಸಂಜೆ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,We listen to music in the evening
ನಾವು ಇಂದು ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,We read a book today
ಅವಳು ಪ್ರತಿ ದಿನ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,She speak Kannada every day
ಅವನು ನಾಳೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,He read a book tomorrow
ನಾನು ಈಗ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,I listen to music now
ನೀನು ಸಂಜೆ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,You go to school in the evening
ನೀನು ಇಂದು ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,You watch a movie today
ನಾನು ಈಗ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,I listen to music now
ಅವಳು ಪ್ರತಿ ದಿನ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,She go to school every day
ಅವರು ಸಂಜೆ ಆಟ ಆಡುತ್ತೇನೆ,They play a game in the evening
ನೀನು ನಾಳೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,You read a book tomorrow
ಅವರು ನಾಳೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,They read a book tomorrow
ನಾವು ಸಂಜೆ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,We listen to music in the evening
ನಾನು ಸಂಜೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,I speak Kannada in the evening
ಅವಳು ಪ್ರತಿ ದಿನ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,She speak Kannada every day
ನೀನು ಸಂಜೆ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,You listen to music in the evening
ಅವರು ಸಂಜೆ ಆಟ ಆಡುತ್ತೇನೆ,They play a game in the evening
ಅವಳು ನಾಳೆ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,She listen to music tomorrow
ಅವಳು ನಾಳೆ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,She go to school tomorrow
ನಾನು ಪ್ರತಿ ದಿನ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,I read a book every day
ಅವಳು ಇಂದು ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,She listen to music today
ನಾವು ಪ್ರತಿ ದಿನ ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,We eat fruit every day
ಅವರು ಇಂದು ಆಟ ಆಡುತ್ತೇನೆ,They play a game today
ಅವರು ನಾಳೆ ಮನೆಗೆ ಬರುತ್ತೇನೆ,They come home tomorrow
ಅವನು ಪ್ರತಿ ದಿನ ಮನೆಗೆ ಬರುತ್ತೇನೆ,He come home every day
ನೀನು ಈಗ ಆಟ ಆಡುತ್ತೇನೆ,You play a game now
ಅವಳು ಈಗ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,She go to school now
ನೀನು ಪ್ರತಿ ದಿನ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,You go to school every day
ನಾನು ನಾಳೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,I read a book tomorrow
ನಾವು ಇಂದು ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,We read a book today
ನೀನು ನಾಳೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,You read a book tomorrow
ನೀನು ಈಗ ಮನೆಗೆ ಬರುತ್ತೇನೆ,You come home now
ಅವರು ಈಗ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,They watch a movie now
ಅವಳು ನಾಳೆ ಆಟ ಆಡುತ್ತೇನೆ,She play a game tomorrow
ನೀನು ಪ್ರತಿ ದಿನ ಆಟ ಆಡುತ್ತೇನೆ,You play a game every day
ನಾವು ಈಗ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,We speak Kannada now
ನಾನು ಈಗ ಆಟ ಆಡುತ್ತೇನೆ,I play a game now
ಅವಳು ಸಂಜೆ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,She listen to music in the evening
ನೀನು ಈಗ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,You speak Kannada now
ನೀನು ಸಂಜೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,You read a book in the evening
ನಾನು ಪ್ರತಿ ದಿನ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,I go to school every day
ಅವನು ಇಂದು ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,He read a book today
ಅವಳು ಪ್ರತಿ ದಿನ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,She speak Kannada every day
ನಾವು ಈಗ ಆಟ ಆಡುತ್ತೇನೆ,We play a game now
ನಾನು ಸಂಜೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,I read a book in the evening
ಅವನು ಪ್ರತಿ ದಿನ ಸಂಗೀತ ಕೇಳುತ್ತೇನೆ,He listen to music every day
ಅವಳು ಸಂಜೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,She speak Kannada in the evening
ನಾನು ನಾಳೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,I speak Kannada tomorrow
ನೀನು ಪ್ರತಿ ದಿನ ಮನೆಗೆ ಬರುತ್ತೇನೆ,You come home every day
ಅವಳು ನಾಳೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,She read a book tomorrow
ಅವನು ನಾಳೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,He watch a movie tomorrow
ಅವನು ಸಂಜೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,He speak Kannada in the evening
ನೀನು ನಾಳೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,You watch a movie tomorrow
ನಾನು ಸಂಜೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,I speak Kannada in the evening
ಅವರು ನಾಳೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,They speak Kannada tomorrow
ಅವರು ಇಂದು ಆಟ ಆಡುತ್ತೇನೆ,They play a game today
ಅವಳು ಈಗ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,She speak Kannada now
ನಾವು ನಾಳೆ ಆಟ ಆಡುತ್ತೇನೆ,We play a game tomorrow
ನಾವು ಇಂದು ಮನೆಗೆ ಬರುತ್ತೇನೆ,We come home today
ನಾವು ಈಗ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,We watch a movie now
ಅವನು ಸಂಜೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,He watch a movie in the evening
ಅವನು ಇಂದು ಮನೆಗೆ ಬರುತ್ತೇನೆ,He come home today
ನಾವು ಇಂದು ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,We read a book today
ಅವರು ಸಂಜೆ ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,They speak Kannada in the evening
ನೀನು ಸಂಜೆ ಆಟ ಆಡುತ್ತೇನೆ,You play a game in the evening
ಅವನು ಸಂಜೆ ಆಟ ಆಡುತ್ತೇನೆ,He play a game in the evening
ಅವನು ಇಂದು ಕನ್ನಡ ಮಾತನಾಡುತ್ತೇನೆ,He speak Kannada today
ಅವಳು ಪ್ರತಿ ದಿನ ಮನೆಗೆ ಬರುತ್ತೇನೆ,She come home every day
ನಾವು ಇಂದು ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,We eat fruit today
ನಾವು ಸಂಜೆ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,We read a book in the evening
ಅವಳು ಪ್ರತಿ ದಿನ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,She go to school every day
ನೀನು ನಾಳೆ ಮನೆಗೆ ಬರುತ್ತೇನೆ,You come home tomorrow
ಅವನು ಸಂಜೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,He watch a movie in the evening
ಅವಳು ಇಂದು ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,She watch a movie today
ಅವಳು ನಾಳೆ ಚಿತ್ರ ನೋಡುತ್ತೇನೆ,She watch a movie tomorrow
ಅವನು ಈಗ ಆಟ ಆಡುತ್ತೇನೆ,He play a game now
ನಾವು ಇಂದು ಹಣ್ಣು ತಿನ್ನುತ್ತೇನೆ,We eat fruit today
ಅವನು ಇಂದು ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,He go to school today
ನಾನು ಈಗ ಪುಸ್ತಕ ಓದುತ್ತೇನೆ,I read a book now
ನಾವು ಈಗ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ,We go to school now
